Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41
us;cn;eu;gb;ca;au;jp;kr;ru;ae;br;ch;cl;co;cr;hk;id;il;in;kw;kz;mx;my;no;nz;pe;ph;pl;qa;sa;sg;th;tw;ua;uy;vn;za;by;ar;eg;np
USD;CNY;EUR;GBP;CAD;AUD;JPY;KRW;RUB;AED;BRL;CHF;CLP;COP;CRC;HKD;IDR;ILS;INR;KWD;KZT;MXN;MYR;NOK;NZD;PEN;PHP;PLN;QAR;SAR;SGD;THB;TWD;UAH;UYU;VND;ZAR;USD;USD;USD;USD
0.99;6.00;0.99;0.89;1.29;1.50;120.00;1100.00;42.00;3.00;3.49;1.09;620.00;2800.00;500.00;7.00;9699.00;3.50;52.00;0.20;300.00;13.39;3.00;11.00;1.49;2.50;35.95;4.49;2.79;2.75;1.10;23.00;22.00;26.00;32.00;15000.00;11.00;0.90;0.89;0.89;0.90
1.99;11.00;1.99;1.69;2.59;2.95;235.00;2300.00;82.00;6.00;6.99;2.25;1300.00;5500.00;950.00;13.00;19499.00;7.25;105.00;0.45;600.00;26.99;5.69;22.25;2.99;5.00;71.49;8.99;5.49;5.25;2.15;47.00;45.00;50.00;64.00;30000.00;21.50;1.39;1.49;1.49;1.29
2.99;15.00;2.99;2.49;3.89;4.50;350.00;3400.00;125.00;9.00;10.49;3.29;1900.00;8200.00;1400.00;20.00;28999.00;10.95;155.00;0.65;890.00;39.00;8.50;33.50;4.49;7.50;109.95;13.49;8.19;7.95;3.25;69.00;66.00;74.00;95.00;45000.00;32.00;2.19;1.99;1.99;1.89
3.99;18.00;3.99;3.39;4.99;5.95;470.00;4500.00;165.00;12.00;13.79;4.49;2400.00;11000.00;1900.00;26.00;37999.00;14.50;200.00;0.85;1200.00;51.99;11.50;44.00;5.99;10.00;142.00;17.99;10.49;9.95;4.25;95.00;82.00;99.00;126.00;59000.00;42.00;2.69;2.49;2.49;2.49
4.99;22.00;4.99;4.29;6.49;7.50;580.00;5600.00;200.00;15.00;16.99;5.49;3000.00;13500.00;2400.00;33.00;47499.00;18.50;250.00;1.10;1500.00;64.49;13.99;55.49;7.39;12.00;174.95;22.99;12.99;11.95;5.25;115.00;102.00;124.00;159.00;73500.00;52.00;3.29;2.99;2.99;2.99
5.99;26.00;5.89;4.99;7.79;8.79;700.00;6700.00;240.00;17.50;20.49;6.49;3600.00;16000.00;2800.00;39.00;56499.00;21.95;300.00;1.25;1750.00;76.99;16.50;65.00;8.99;14.50;209.95;27.50;15.99;13.95;6.50;135.00;118.00;149.00;189.00;87500.00;62.00;3.99;3.59;3.59;3.49
6.99;29.00;6.89;5.89;8.99;10.25;800.00;7800.00;280.00;21.00;23.50;7.75;4200.00;18500.00;3300.00;46.00;65000.00;25.95;345.00;1.45;2100.00;88.99;19.50;78.00;10.49;17.00;239.95;31.99;17.99;16.50;7.50;155.00;138.00;163.00;220.00;102000.00;72.00;4.69;3.99;3.99;3.99
7.99;33.00;7.79;6.69;10.49;11.79;920.00;8900.00;320.00;24.00;26.49;8.99;4700.00;21000.00;3750.00;52.00;74000.00;29.50;400.00;1.65;2300.00;100.99;21.75;89.00;11.79;19.00;274.95;36.99;19.99;18.50;8.50;179.00;152.00;187.00;249.00;115000.00;82.00;4.99;4.49;4.49;4.49
